Device: Apple iPhone9,3; eSense app version: 4.3.3; ios version: 11.3.1;
BESCHREIBUNG;WERT
NAME MESSUNG;Messung-20112019-121614;;;;
DATUM (SS:MM:SS);20.11.19 12:16:14;;;;
ZEIT (SS:MM:SS);00:02:31;;;;
MAXIMUM;4,36 µS;;;;
MINIMUM;0,45 µS;;;;
DIFFERENZ MIN/MAX;3,91 µS;;;;
DURCHSCHNITT SESSION;3,36 µS;;;;
ZUNAHME (SS:MM:SS);00:00:23;;;;
STETIG (SS:MM:SS);00:00:00;;;;
ABNAHME (SS:MM:SS);00:02:08;;;;
;;;;;
GESAMT SCR;5;;;;
% SCR DER SITZUNG;21,0%;;;;
0-5 SCR/MIN (SS:MM:SS);00:02:40;;;;
6-9 SCR/MIN (SS:MM:SS);00:00:00;;;;
10-15 SCR/MIN (SS:MM:SS);00:00:00;;;;
>16 SCR/MIN (SS:MM:SS);00:00:00;;;;
;;;;;
;;;;;
STATISTIK;;;;;
SEKUNDE;MIKROSIEMENS;ZEITSTEMPEL;SCR;SCR/MIN;MARKIERUNG
73,4;3,51;12:17:27:919;0;4;
73,6;3,51;12:17:28:119;0;4;
73,8;3,50;12:17:28:319;0;4;
74,0;3,50;12:17:28:519;0;4;
74,2;3,49;12:17:28:719;0;4;
74,4;3,49;12:17:28:919;0;4;
74,6;3,48;12:17:29:119;0;4;
74,8;3,48;12:17:29:319;0;4;
75,0;3,48;12:17:29:519;0;4;
75,2;3,47;12:17:29:719;0;4;
75,4;3,47;12:17:29:919;0;4;
75,6;3,46;12:17:30:119;0;4;
75,8;3,46;12:17:30:319;0;4;
76,0;3,46;12:17:30:519;0;4;
76,2;3,45;12:17:30:719;0;4;
76,4;3,45;12:17:30:919;0;4;
76,6;3,45;12:17:31:119;0;4;
76,8;3,44;12:17:31:319;0;4;
77,0;3,44;12:17:31:519;0;4;
77,2;3,44;12:17:31:719;0;4;
77,4;3,43;12:17:31:919;0;4;
77,6;3,43;12:17:32:119;0;4;
77,8;3,42;12:17:32:319;0;4;
78,0;3,42;12:17:32:519;0;4;
78,2;3,41;12:17:32:719;0;4;
78,4;3,41;12:17:32:919;0;4;
78,6;3,41;12:17:33:119;0;4;
78,8;3,41;12:17:33:319;0;4;
79,0;3,40;12:17:33:519;0;4;
79,2;3,40;12:17:33:719;0;4;
79,4;3,40;12:17:33:919;0;4;
79,6;3,39;12:17:34:119;0;4;
79,8;3,39;12:17:34:319;0;4;
80,0;3,39;12:17:34:519;0;4;
80,2;3,38;12:17:34:719;0;4;
80,4;3,38;12:17:34:919;0;4;
80,6;3,37;12:17:35:119;0;4;
80,8;3,37;12:17:35:319;0;4;
81,0;3,37;12:17:35:519;0;4;
81,2;3,37;12:17:35:719;0;4;
81,4;3,36;12:17:35:919;0;4;
81,6;3,36;12:17:36:119;0;4;
81,8;3,36;12:17:36:319;0;4;
82,0;3,35;12:17:36:519;0;4;
82,2;3,35;12:17:36:719;0;4;
82,4;3,35;12:17:36:919;0;4;
82,6;3,35;12:17:37:119;0;4;
82,8;3,34;12:17:37:319;0;4;
83,0;3,34;12:17:37:519;0;4;
83,2;3,34;12:17:37:719;0;4;
83,4;3,33;12:17:37:919;0;4;
83,6;3,33;12:17:38:119;0;4;
83,8;3,33;12:17:38:319;0;4;
84,0;3,32;12:17:38:519;0;4;
84,2;3,32;12:17:38:719;0;4;
84,4;3,32;12:17:38:919;0;4;
84,6;3,31;12:17:39:119;0;4;
84,8;3,31;12:17:39:319;0;4;
85,0;3,31;12:17:39:519;0;4;
85,2;3,30;12:17:39:719;0;4;
85,4;3,30;12:17:39:919;0;4;
85,6;3,30;12:17:40:119;0;4;
85,8;3,30;12:17:40:319;0;4;
86,0;3,30;12:17:40:519;0;4;
86,2;3,29;12:17:40:719;0;4;
86,4;3,29;12:17:40:919;0;4;
86,6;3,29;12:17:41:119;0;4;
86,8;3,29;12:17:41:319;0;4;
87,0;3,28;12:17:41:519;0;4;
87,2;3,28;12:17:41:719;0;4;
87,4;3,28;12:17:41:919;0;4;
87,6;3,28;12:17:42:119;0;4;
87,8;3,27;12:17:42:319;0;4;
88,0;3,27;12:17:42:519;0;4;
88,2;3,27;12:17:42:719;0;4;
88,4;3,27;12:17:42:919;0;4;
88,6;3,26;12:17:43:119;0;4;
88,8;3,26;12:17:43:319;0;4;
89,0;3,26;12:17:43:519;0;4;
89,2;3,26;12:17:43:719;0;4;
89,4;3,25;12:17:43:919;0;4;
89,6;3,25;12:17:44:119;0;4;
89,8;3,25;12:17:44:319;0;4;
90,0;3,25;12:17:44:519;0;4;
90,2;3,24;12:17:44:719;0;4;
90,4;3,24;12:17:44:919;0;4;
90,6;3,24;12:17:45:119;0;4;
90,8;3,24;12:17:45:319;0;4;
91,0;3,23;12:17:45:519;0;4;
91,2;3,23;12:17:45:719;0;4;
91,4;3,23;12:17:45:919;0;4;
91,6;3,22;12:17:46:119;0;4;
91,8;3,22;12:17:46:319;0;4;
92,0;3,22;12:17:46:519;0;4;
92,2;3,22;12:17:46:719;0;4;
92,4;3,22;12:17:46:919;0;4;
92,6;3,21;12:17:47:119;0;4;
92,8;3,21;12:17:47:319;0;4;
93,0;3,21;12:17:47:519;0;4;
93,2;3,21;12:17:47:719;0;4;
93,4;3,20;12:17:47:919;0;4;
93,6;3,20;12:17:48:119;0;4;
93,8;3,20;12:17:48:319;0;4;
94,0;3,20;12:17:48:519;0;4;
94,2;3,20;12:17:48:719;0;4;
94,4;3,20;12:17:48:919;0;4;
94,6;3,20;12:17:49:119;0;4;
94,8;3,20;12:17:49:319;0;4;
95,0;3,21;12:17:49:519;0;4;
95,2;3,21;12:17:49:719;0;4;
95,4;3,22;12:17:49:919;0;4;
95,6;3,24;12:17:50:119;0;4;
95,8;3,25;12:17:50:319;0;4;
96,0;3,27;12:17:50:519;0;4;
96,2;3,29;12:17:50:719;0;4;
96,4;3,31;12:17:50:919;0;4;
96,6;3,33;12:17:51:119;0;4;
96,8;3,35;12:17:51:319;0;4;
97,0;3,36;12:17:51:519;0;4;
97,2;3,38;12:17:51:719;0;4;
97,4;3,39;12:17:51:919;0;4;
97,6;3,41;12:17:52:119;0;4;
97,8;3,42;12:17:52:319;0;4;
98,0;3,43;12:17:52:519;0;4;
98,2;3,43;12:17:52:719;0;4;
